"light","treatment","period","n_total","n_refuge","prop_refuge"
"light","catfish","before",66,34,0.52
"light","catfish","during",99,71,0.72
"light","catfish","after",66,48,0.73
"light","eel","before",66,23,0.35
"light","eel","during",99,49,0.49
"light","eel","after",66,35,0.53
"light","control","before",60,24,0.4
"light","control","during",90,48,0.53
"light","control","after",60,49,0.82
"dark","catfish","before",66,26,0.39
"dark","catfish","during",99,47,0.47
"dark","catfish","after",66,46,0.7
"dark","eel","before",66,18,0.27
"dark","eel","during",99,41,0.41
"dark","eel","after",66,24,0.36
"dark","control","before",60,22,0.37
"dark","control","during",90,38,0.42
"dark","control","after",60,28,0.47
"combined","catfish","before",132,60,0.45
"combined","catfish","during",198,118,0.6
"combined","catfish","after",132,94,0.71
"combined","control","before",120,46,0.38
"combined","control","during",180,86,0.48
"combined","control","after",120,77,0.64
"combined","eel","before",132,41,0.31
"combined","eel","during",198,90,0.45
"combined","eel","after",132,59,0.45
"light","combined","before",192,81,0.42
"light","combined","during",288,168,0.58
"light","combined","after",192,132,0.69
"dark","combined","before",192,66,0.34
"dark","combined","during",288,126,0.44
"dark","combined","after",192,98,0.51
"combined","combined","before",384,147,0.38
"combined","combined","during",576,294,0.51
"combined","combined","after",384,230,0.6
"combined","combined","combined",1344,671,0.5
